Description,URL,Price,Rating,Review Count
"ELEMUSE Extra Long Full Body Pillow Insert for Adults, Ultra Soft Dakimakura Pillow for Anime, Bed Pillow for Side Sleeper, 60 x 20 Inch (150 x 50cm)",https://www.amazon.com/ELEMUSE-Pillow-Insert-Dakimakura-Sleeper/dp/B09PNDDXXZ/ref=sr_1_18?keywords=dakimakura&qid=1680144316&sr=8-18,$78.99,4.3 out of 5 stars,"(1,550)"
MISAKI1987 Fate/Grand Order FGO Scathach Anime Girl Dakimakura Hugging Body Pillow Case Cover 150cm X 50cm Peach Skin,https://www.amazon.com/MISAKI1987-Scathach-Dakimakura-Hugging-Pillow/dp/B0969WWZ1Y/ref=sr_1_19?keywords=dakimakura&qid=1680144316&sr=8-19,$35.00,,
MISAKI1987 High School DxD Rossweisse Anime Girl Dakimakura Hugging Body Pillow Cover Case 150cm X 50cm Peach Skin,https://www.amazon.com/MISAKI1987-School-Rossweisse-Dakimakura-Hugging/dp/B0BM49MCYN/ref=sr_1_20?keywords=dakimakura&qid=1680144316&sr=8-20,$35.00,5.0 out of 5 stars,(1)
New WVICM Anime Dakimakura Black Butler Sebastian Michaelis Hugging Body Pillow Case Cover 150x50cm (BZ016),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07952542JGIVZK8PDAQR&qualifier=1680144316&id=2095636436653713&widgetName=sp_mtf&url=%2FWVICM-Dakimakura-Sebastian-Michaelis-150x50cm%2Fdp%2FB0BV1ZTM7V%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Ddakimakura%26qid%3D1680144316%26sr%3D8-21-spons%26psc%3D1,$34.98,,
"Body Pillow (Special Ver.) Cover Case Hugging Soft Genshin Impact Double-Sided Printed Waifu Girl Dakimakura 59"" x 20"" Uncensored (Dehya)",https://www.amazon.com/Special-Hugging-Double-Sided-Dakimakura-Uncensored/dp/B0BVW3JB6F/ref=sr_1_22?keywords=dakimakura&qid=1680144316&sr=8-22,$29.99,3.4 out of 5 stars,(9)
"Genshin Impact Girl Kamisato Ayaka Body Pillow Case Cover, Hugging Pillow with Zipper,150 x 50 cm Dakimakura Case Peach Skin for Adults (Kamisato Ayaka)",https://www.amazon.com/Genshin-Impact-Kamisato-Hugging-Dakimakura/dp/B0BNK15KFS/ref=sr_1_23?keywords=dakimakura&qid=1680144316&sr=8-23,$35.47,,
"2B Body Pillow Cover Case Hugging Soft Anime Character Merch Stuffed Double-Sided Printed Peach Skin Plush Room Decor Dakimakura 59"" x 20""",https://www.amazon.com/Hugging-Character-Stuffed-Double-Sided-Dakimakura/dp/B0BQBP93H6/ref=sr_1_24?keywords=dakimakura&qid=1680144316&sr=8-24,$32.99,4.8 out of 5 stars,(12)
MISAKI1987 Monster Girl Encyclopedia Dragon and White Snake Anime Girl Dakimakura Hugging Body Pillow Case Cover 150cm X 50cm Peach Skin,https://www.amazon.com/MISAKI1987-Monster-Encyclopedia-Dakimakura-Hugging/dp/B092SCXQJ7/ref=sr_1_25?keywords=dakimakura&qid=1680144316&sr=8-25,$28.00,5.0 out of 5 stars,(2)
"Anime Game Genshin Impact Kamisato Ayaka Hugging Body Pillow Cover, Double-Sided Printed 59"" x 19"" Dakimakura Peach Skin Pillowcase (Kamisato Ayaka)",https://www.amazon.com/Genshin-Impact-Kamisato-Ayaka-Double-Sided/dp/B0BCYWFT7Z/ref=sr_1_26?keywords=dakimakura&qid=1680144316&sr=8-26,$32.66,4.4 out of 5 stars,(9)
Anime Body Pillowcase Mai Sakurajima Rascal Does Not Dream of Bunny Girl Japanese Textile 105cmx40cm(41.3inx15.7in) Double-Sided Japanese Manga Long Throw Pillow Cases Cushion Cover for Sofa Decor,https://www.amazon.com/Pillowcase-Sakurajima-105cmx40cm-41-3inx15-7in-Double-Sided/dp/B0BF8JVRQS/ref=sr_1_27?keywords=dakimakura&qid=1680144316&sr=8-27,$14.89,,
